birth_department,birth_city,nationality,age,gender,stratum,pbm,admission_type,faculty,program
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 6,93,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 3,18,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 4,39,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,22,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 2,9,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,15,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 5,44,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,CHINCHINÁ,Colombiana,21,Hombres,Estrato 6,100,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MARQUETALIA,Colombiana,23,Hombres,Estrato 4,54,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MARQUETALIA,Colombiana,22,Hombres,Estrato 2,13,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 4,45,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,39,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 6,98,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,21,Mujeres,Estrato 2,15,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 1,56,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,FILADELFIA,Colombiana,22,Hombres,Estrato 2,28,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 4,67,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 4,63,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 4,57,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,25,Hombres,Estrato 2,9,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,21,Hombres,Estrato 4,61,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,25,Mujeres,Estrato 2,9,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 1,8,Regular,Ciencias exactas y naturales,Matemáticas
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 3,34,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,21,Hombres,Estrato 3,15,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 4,49,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 2,23,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 2,47,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,53,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,15,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,18,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,54,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 4,72,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 6,60,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,AGUADAS,Colombiana,21,Hombres,Estrato 2,11,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,56,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,21,Hombres,Estrato 1,8,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,38,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 2,51,Regular,Ciencias exactas y naturales,Ingeniería Física
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 2,16,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,46,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,59,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 1,4,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 3,18,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,22,Mujeres,Estrato 2,42,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,22,Hombres,Estrato 4,43,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANZANARES,Colombiana,24,Hombres,Estrato 2,9,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,NEIRA,Colombiana,23,Hombres,Estrato 3,20,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,PENSILVANIA,Colombiana,24,Hombres,Estrato 1,4,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,PENSILVANIA,Colombiana,23,Mujeres,Estrato 2,17,PAES,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,RISARALDA,Colombiana,23,Mujeres,Estrato 3,32,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,SAMANÁ,Colombiana,23,Hombres,Estrato 1,2,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,SUPÍA,Colombiana,25,Hombres,Estrato 2,6,PEAMA,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,VILLAMARÍA,Colombiana,24,Hombres,Estrato 2,9,Regular,Ciencias exactas y naturales,Ingeniería Física
CALDAS,SALAMINA,Colombiana,24,Hombres,Estrato 2,7,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,PALESTINA,Colombiana,23,Hombres,Estrato 1,5,Regular,Ingeniería y arquitectura,Ingeniería Química
CÓRDOBA,MONTERÍA,Colombiana,22,Hombres,Estrato 2,59,Regular,Ingeniería y arquitectura,Ingeniería Industrial
HUILA,NEIVA,Colombiana,23,Hombres,Estrato 2,56,Regular,Ingeniería y arquitectura,Ingeniería Química
HUILA,GARZÓN,Colombiana,22,Mujeres,Estrato 2,51,Regular,Ingeniería y arquitectura,Ingeniería Química
HUILA,PAICOL,Colombiana,23,Mujeres,Estrato 2,15,Regular,Ingeniería y arquitectura,Ingeniería Química
HUILA,PITALITO,Colombiana,21,Hombres,Estrato 3,53,Regular,Ingeniería y arquitectura,Ingeniería Civil
NARIÑO,PASTO,Colombiana,24,Hombres,Estrato 1,2,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
HUILA,GIGANTE,Colombiana,24,Hombres,Estrato 1,22,PAES,Ingeniería y arquitectura,Ingeniería Civil
NARIÑO,PASTO,Colombiana,23,Hombres,Estrato 1,38,PAES,Ingeniería y arquitectura,Ingeniería Química
NARIÑO,PASTO,Colombiana,23,Hombres,Estrato 4,82,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
NARIÑO,PASTO,Colombiana,23,Hombres,Estrato 1,15,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
HUILA,LA PLATA,Colombiana,21,Hombres,Estrato 2,45,Regular,Ciencias exactas y naturales,Ingeniería Física
MAGDALENA,FUNDACIÓN,Colombiana,23,Mujeres,Estrato 2,7,PEAMA,Ingeniería y arquitectura,Ingeniería Industrial
HUILA,GUADALUPE,Colombiana,23,Hombres,Estrato 3,56,Regular,Ingeniería y arquitectura,Arquitectura
NARIÑO,PASTO,Colombiana,21,Hombres,Estrato 3,58,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
NARIÑO,TAMINANGO,Colombiana,23,Hombres,Estrato 2,41,Regular,Ingeniería y arquitectura,Ingeniería Civil
RISARALDA,PEREIRA,Colombiana,21,Hombres,Estrato 3,65,Regular,Ingeniería y arquitectura,Arquitectura
RISARALDA,PEREIRA,Colombiana,22,Hombres,Estrato 3,15,Regular,Ingeniería y arquitectura,Ingeniería Química
NARIÑO,IPIALES,Colombiana,26,Hombres,Estrato 1,6,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
NARIÑO,IPIALES,Colombiana,24,Mujeres,Estrato 3,13,Regular,Ingeniería y arquitectura,Ingeniería Química
NARIÑO,SAN BERNARDO,Colombiana,23,Mujeres,Estrato 1,30,PAES,Ingeniería y arquitectura,Ingeniería Civil
NARIÑO,IPIALES,Colombiana,36,Hombres,Estrato 1,2,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
NARIÑO,IPIALES,Colombiana,22,Hombres,Estrato 3,56,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
NARIÑO,LINARES,Colombiana,21,Hombres,Estrato 1,11,Regular,Ingeniería y arquitectura,Ingeniería Industrial
NARIÑO,SAN ÁNDRES DE TUMACO,Colombiana,24,Hombres,Estrato 1,1,PEAMA,Ingeniería y arquitectura,Ingeniería Civil
NARIÑO,SAN ÁNDRES DE TUMACO,Colombiana,23,Hombres,Estrato 2,50,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
NARIÑO,SAN ÁNDRES DE TUMACO,Colombiana,26,Mujeres,Estrato 1,4,Regular,Ciencias exactas y naturales,Ingeniería Física
NARIÑO,TÚQUERRES,Colombiana,22,Mujeres,Estrato 2,18,Regular,Ingeniería y arquitectura,Ingeniería Química
RISARALDA,DOSQUEBRADAS,Colombiana,23,Hombres,Estrato 3,19,Regular,Administración,Administración de Empresas (Diurno)
RISARALDA,PEREIRA,Colombiana,23,Hombres,Estrato 2,6,PAES,Administración,Administración de Empresas (Diurno)
RISARALDA,PEREIRA,Colombiana,22,Mujeres,Estrato 2,11,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
RISARALDA,PEREIRA,Colombiana,22,Hombres,Estrato 3,40,Regular,Ingeniería y arquitectura,Arquitectura
RISARALDA,PEREIRA,Colombiana,21,Mujeres,Estrato 4,71,Regular,Ingeniería y arquitectura,Arquitectura
NARIÑO,SAN PABLO,Colombiana,23,Hombres,Estrato 1,8,Regular,Ciencias exactas y naturales,Ciencias de la Computación
QUINDÍO,ARMENIA,Colombiana,23,Hombres,Estrato 3,14,Regular,Ingeniería y arquitectura,Ingeniería Química
QUINDÍO,ARMENIA,Colombiana,23,Hombres,Estrato 3,63,Regular,Administración,Administración de Empresas (Diurno)
QUINDÍO,ARMENIA,Colombiana,23,Hombres,Estrato 2,7,Regular,Administración,Administración de Sistemas Informáticos
SUCRE,SAN ONOFRE,Colombiana,22,Mujeres,Estrato 1,4,PAES,Ingeniería y arquitectura,Ingeniería Civil
SUCRE,SINCELEJO,Colombiana,23,Hombres,Estrato 3,43,Regular,Ingeniería y arquitectura,Arquitectura
TOLIMA,IBAGUÉ,Colombiana,22,Hombres,Estrato 3,69,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
TOLIMA,HERVEO,Colombiana,21,Hombres,Estrato 2,10,Regular,Administración,Gestión Cultural y Comunicativa
TOLIMA,IBAGUÉ,Colombiana,22,Mujeres,Estrato 2,16,Regular,Administración,Administración de Empresas (Diurno)
VALLE DEL CAUCA,CALI,Colombiana,23,Hombres,Estrato 2,12,PAES,Ingeniería y arquitectura,Ingeniería Eléctrica
TOLIMA,IBAGUÉ,Colombiana,23,Hombres,Estrato 2,8,Regular,Ingeniería y arquitectura,Arquitectura
TOLIMA,PURIFICACIÓN,Colombiana,22,Mujeres,Estrato 3,52,Regular,Ciencias exactas y naturales,Ciencias de la Computación
TOLIMA,IBAGUÉ,Colombiana,23,Hombres,Estrato 2,14,Regular,Ingeniería y arquitectura,Ingeniería Civil
TOLIMA,FRESNO,Colombiana,24,Hombres,Estrato 2,8,Regular,Ciencias exactas y naturales,Matemáticas
TOLIMA,IBAGUÉ,Colombiana,22,Mujeres,Estrato 1,9,Regular,Ingeniería y arquitectura,Ingeniería Química
TOLIMA,IBAGUÉ,Colombiana,21,Hombres,Estrato 2,54,Regular,Administración,Administración de Sistemas Informáticos
TOLIMA,VILLAHERMOSA,Colombiana,23,Hombres,Estrato 2,23,Regular,Ingeniería y arquitectura,Ingeniería Civil
VALLE DEL CAUCA,CALI,Colombiana,23,Mujeres,Estrato 3,26,Regular,Ingeniería y arquitectura,Ingeniería Química
VALLE DEL CAUCA,CALI,Colombiana,24,Mujeres,Estrato 3,18,Regular,Ingeniería y arquitectura,Arquitectura
VALLE DEL CAUCA,CARTAGO,Colombiana,23,Hombres,Estrato 2,25,Regular,Administración,Administración de Empresas (Nocturno)
VALLE DEL CAUCA,CARTAGO,Colombiana,22,Mujeres,Estrato 3,30,Regular,Ingeniería y arquitectura,Arquitectura
VALLE DEL CAUCA,CALI,Colombiana,22,Mujeres,Estrato 3,57,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
VALLE DEL CAUCA,TULUÁ,Colombiana,23,Mujeres,Estrato 3,44,Regular,Ingeniería y arquitectura,Ingeniería Química
VALLE DEL CAUCA,TULUÁ,Colombiana,22,Mujeres,Estrato 4,43,Regular,Ingeniería y arquitectura,Arquitectura
ARAUCA,TAME,Colombiana,23,Hombres,Estrato 1,2,PAES,Administración,Gestión Cultural y Comunicativa
CAQUETÁ,EL DONCELLO,Colombiana,21,Hombres,Estrato 2,100,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CAQUETÁ,FLORENCIA,Colombiana,23,Mujeres,Estrato 4,55,Regular,Ingeniería y arquitectura,Arquitectura
CAQUETÁ,FLORENCIA,Colombiana,23,Hombres,Estrato 2,52,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CAQUETÁ,FLORENCIA,Colombiana,23,Hombres,Estrato 3,16,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CASANARE,YOPAL,Colombiana,22,Hombres,Estrato 2,13,PEAMA,Ingeniería y arquitectura,Ingeniería Electrónica
PUTUMAYO,MOCOA,Colombiana,22,Hombres,Estrato 2,21,Regular,Ingeniería y arquitectura,Ingeniería Química
LA GUAJIRA,MAICAO,Colombiana,22,Hombres,Estrato 1,48,PAES,Ingeniería y arquitectura,Ingeniería Electrónica
PUTUMAYO,PUERTO ASÍS,Colombiana,23,Mujeres,Estrato 1,43,Regular,Ingeniería y arquitectura,Arquitectura
META,VILLAVICENCIO,Colombiana,21,Mujeres,Estrato 3,25,Regular,Administración,Administración de Empresas (Diurno)
PUTUMAYO,COLÓN,Colombiana,23,Hombres,Estrato 2,31,PEAMA,Ingeniería y arquitectura,Ingeniería Electrónica
PUTUMAYO,PUERTO GUZMÁN,Colombiana,23,Mujeres,Estrato 1,4,PEAMA,Ingeniería y arquitectura,Ingeniería Civil
VAUPÉS,MITÚ,Colombiana,23,Hombres,Estrato 1,8,PEAMA,Ingeniería y arquitectura,Arquitectura
CAUCA,SANTANDER DE QUILICHAO,Colombiana,23,Hombres,Estrato 1,13,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CAUCA,PÁEZ,Colombiana,23,Mujeres,Estrato 2,37,PAES,Ingeniería y arquitectura,Arquitectura
RISARALDA,MARSELLA,Colombiana,22,Hombres,Estrato 3,30,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,21,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,49,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 1,4,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 6,74,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,46,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 3,13,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,36,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,25,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 5,63,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,55,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,37,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,42,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,53,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,31,Regular,Ingeniería y arquitectura,Arquitectura
"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Colombiana,23,Mujeres,Estrato 2,33,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,12,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 4,53,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,43,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 1,6,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 1,2,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,9,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 1,3,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,35,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,22,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,15,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,38,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 3,25,Regular,Ingeniería y arquitectura,Ingeniería Electrónica
CALDAS,MANIZALES,Colombiana,24,Hombres,Estrato 3,34,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,24,Mujeres,Estrato 4,62,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 1,1,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 4,63,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 4,50,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 1,10,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,36,Regular,Administración,Administración de Empresas (Nocturno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,22,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,77,Regular,Ciencias exactas y naturales,Ciencias de la Computación
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,22,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 1,3,Regular,Ciencias exactas y naturales,Ingeniería Física
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 4,50,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,36,Regular,Ingeniería y arquitectura,Ingeniería Industrial
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 5,85,Regular,Ingeniería y arquitectura,Arquitectura
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,16,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,44,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANZANARES,Colombiana,23,Mujeres,Estrato 3,36,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,15,Regular,Administración,Administración de Empresas (Diurno)
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,8,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,24,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,13,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,10,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,CHINCHINÁ,Colombiana,23,Mujeres,Estrato 2,7,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 6,84,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 3,15,Regular,Ingeniería y arquitectura,Ingeniería Química
CALDAS,MANIZALES,Colombiana,23,Mujeres,Estrato 2,12,Regular,Administración,Administración de Sistemas Informáticos
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,53,Regular,Ingeniería y arquitectura,Ingeniería Civil
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 3,17,Regular,Ingeniería y arquitectura,Ingeniería Eléctrica
CALDAS,MANIZALES,Colombiana,23,Hombres,Estrato 2,40,Regular,Administración,Administración de Empresas (Diurno)
